id,label
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,1
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,0
485,0
486,0
487,1
488,0
489,0
490,1
491,0
492,1
493,1
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,1
539,1
540,0
541,1
542,1
543,0
544,1
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,1
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,1
611,1
612,0
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,1
636,1
637,1
638,1
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,0
718,0
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,1
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,0
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,0
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,0
816,0
817,1
818,1
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,1
827,0
828,1
829,0
830,1
831,0
832,0
833,0
834,1
835,1
836,1
837,0
838,0
839,0
840,0
841,1
842,0
843,1
844,1
845,1
846,1
847,0
848,1
849,0
850,0
851,0
852,1
853,1
854,1
855,0
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,1
864,1
865,0
866,0
867,0
868,0
869,1
870,1
871,0
872,1
873,1
874,1
875,0
876,1
877,1
878,0
879,0
880,1
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,0
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,0
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,1
909,0
910,0
911,1
912,1
913,1
914,1
915,0
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,0
927,1
928,0
929,1
930,1
931,0
932,0
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,1
942,1
943,0
944,0
945,0
946,0
947,1
948,1
949,1
950,1
951,1
952,0
953,0
954,0
955,1
956,1
957,1
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,0
972,0
973,1
974,0
975,0
976,1
977,1
978,0
979,1
980,0
981,1
982,1
983,1
984,1
985,1
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,1
1061,1
1062,1
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,0
1072,1
1073,0
1074,1
1075,1
1076,1
1077,1
1078,1
1079,0
1080,0
1081,0
1082,0
1083,1
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,0
1099,1
1100,1
1101,0
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,1
1109,0
1110,1
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,0
1120,1
1121,0
1122,1
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,1
1136,1
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,0
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,1
1161,0
1162,0
1163,0
1164,1
1165,0
1166,0
1167,0
1168,0
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
1230,1
